session_id,session_title,session_description,session_type,start_datetime,end_datetime,duration_mins,duration_formatted,cost,prereg_link,skill_level,day,recorded,speakers,location,url,bio_html
2000,Coaching ChatGPT to help with coding and data tasks,Not available/NA/-999/404,Hands-on,2025-03-06T15:00:00Z,2025-03-06T16:00:00Z,60,1h,,,Beginner,Thursday,No,Charles Minshew - The Atlanta Journal-Constitution,"Birch Lake, fourth floor",https://schedules.ire.org/nicar-2025/index.html#2000,
2005,Everything everywhere all at once: Data from around the world to report on global issues,"In an interconnected world, data is more accessible than ever—but finding and using global data comes with unique challenges. In this panel, reporters will explore strategies for locating reliable international datasets and navigating the obstacles that come with using them. From language barriers to currency conversions, inconsistent formats, and varying levels of data transparency, journalists must adapt to diverse contexts to uncover the story within the data. Panelists will share practical solutions for addressing these challenges, including best practices for working with multilingual datasets, standardizing metrics across borders, and verifying sources in regions with limited transparency. Additionally, the session will tackle the complex issue of obtaining documents and records in countries where public records laws are weak, inefficient, or nonexistent. Panelists will highlight creative approaches to accessing critical information, from building local partnerships to leveraging non-traditional sources.
Key questions for discussion during the panel:
- What are the most effective methods for identifying and accessing reliable global data sources?
- What unique challenges do international datasets present—such as language barriers, currency discrepancies, or incompatible formats—and what strategies can help overcome them?
- How can journalists access critical documents in countries where public records laws are weak, inefficient, or nonexistent?",Panel,2025-03-06T15:00:00Z,2025-03-06T16:00:00Z,60,1h,,,,Thursday,Yes,"Helena Bengtsson - Gota Media, Irene Casado Sanchez - Big Local News, Eva Constantaras - Lighthouse Reports, Andy Lehren - The Center for Collaborative Investigative Journalism | CUNY JSchool, Bianca  Muniz - Agência Pública de Jornalismo Investigativo","Grand Portage Ballroom 3, fourth floor",https://schedules.ire.org/nicar-2025/index.html#2005,
1066,First SvelteKit data app,"This session will demonstrate to attendees how to use SvelteKit (Svelte's UI framework) to build a simple data-driven web application. We will cover the basics of what makes Svelte and SvelteKit what they are, followed by demonstrations of how to organize and set up a mini-site with multiple pages, different ways you can load in data, and how to handle components (both LayerCake charts and regular ones).
This intermediate session is good for journalists with JavaScript experience.
Laptops will be provided.",Hands-on,2025-03-06T15:00:00Z,2025-03-06T16:00:00Z,60,1h,,,Beginner,Thursday,No,Tyler Machado - Independent journalist,"St. Croix I, sixth floor",https://schedules.ire.org/nicar-2025/index.html#1066,
2011,Google Sheets 1: Getting started with spreadsheets,"In this introduction to spreadsheets, you'll begin analyzing data with Google Sheets, a simple but powerful tool. You'll learn how to enter data, navigate spreadsheets and conduct simple calculations like sum, average and median. 

This session is good for: Data beginners. Attendees will need to bring their own laptop (no tablets) for the training and will need a free Google account to participate.",Hands-on,2025-03-06T15:00:00Z,2025-03-06T16:00:00Z,60,1h,,,Beginner,Thursday,No,"K. Sophie Will - Bloomberg Law, Government, and Tax","Cedar Lake, fourth floor",https://schedules.ire.org/nicar-2025/index.html#2011,
1155,Reporting in underserved communities with hard-to-get data,This panel discussion will show examples of how journalists are navigating complex and data-driven stories on underserved communities. Speakers will share stories and how they problem-solved connecting with the people behind the data.,Panel,2025-03-06T15:00:00Z,2025-03-06T16:00:00Z,60,1h,,,,Thursday,Yes,"Chelsea Curtis - Arizona Luminaria, Pam Dempsey - Data-Driven Reporting Project, Ayuka Kawakami - Independent journalist, Mauricio Peña - Borderless Magazine","Grand Portage Ballroom 2, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1155,
1017,Georeferencing static maps,"This session is for reporters who often have to wait to hear back from others about the availability of GIS files, when it's sometimes much faster to georeference them on our own. Using QGIS, we can georeference maps and create our own layers.
This session is good for: beginners with some knowledge of geospatial data.
Laptops will be provided.",Hands-on,2025-03-06T16:15:00Z,2025-03-06T17:15:00Z,60,1h,,,Intermediate,Thursday,No,Harsha Devulapalli - San Francisco Chronicle,"Crystal Lake, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1017,
2013,Google Sheets 2: Formulas & sorting,"Much of Google Sheets' power comes in the form of formulas. In this class, you'll learn how to use them to analyze data with the eye of a journalist. Yes, math will be involved, but it's totally worth it! This class will show you how calculations like change, percent change, rates and ratios can beef up your reporting.

This session is good for: Anyone who has taken Google Sheets 1 or has been introduced to spreadsheets. Attendees will need to bring their own laptop (no tablets) for the training and will need a free Google account to participate.",Hands-on,2025-03-06T16:15:00Z,2025-03-06T17:15:00Z,60,1h,,,Beginner,Thursday,No,Craig Lyons - Arnolt Center for Investigative Journalism,"Cedar Lake, fourth floor",https://schedules.ire.org/nicar-2025/index.html#2013,
1064,"Practical, ethical use of AI in the newsroom: Translation, audio processing and chatbots","As AI continnues to proliferate and become more advanced, how can journalists use this technology ethically while advancing the work we do? Come to this session to talk about how AI can be a helpful tool in your reporting, and how to mitigate ethical risks as you explore.",Panel,2025-03-06T16:15:00Z,2025-03-06T17:15:00Z,60,1h,,,,Thursday,Yes,"Eric Nicholas Barrett - OCCRP, Tazbia Fatima - Hearst, Matt Zdun - Houston Chronicle","Grand Portage Ballroom 2, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1064,
1087,Technical tech regulators: The data we use to regulate the most powerful companies in the world,"Get familiar with open data we use to regulate powerful companies, and discuss structures for accountability.",Demo,2025-03-06T16:15:00Z,2025-03-06T17:15:00Z,60,1h,,,,Thursday,Yes,Erie Meyer - CFPB,"Grand Portage Ballroom 3, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1087,
1183,Watching the weather with Github Actions,"When severe weather is on its way, you'll want to know about it. Find out how to set up Slack alerts based on live U.S. National Weather Service data using Github Actions.
This session is good for journalists with some familiarity with git and GitHub. Attendees will need to bring their own laptop (no tablets).",Hands-on,2025-03-06T16:15:00Z,2025-03-06T17:15:00Z,60,1h,,,Intermediate,Thursday,No,John Keefe - The New York Times,"Gray's Bay, eighth floor",https://schedules.ire.org/nicar-2025/index.html#1183,
2010,What to do when the data doesn't exist,"What do you do when you're reporting a story that could really use some data but its nowhere to be found or flat out doesn't exist? From building databases to thinking outside the box, this session will discuss ways to pause, pivot, and think creatively about how to overcome roadblocks when dealing with a dearth of data.",Panel,2025-03-06T16:15:00Z,2025-03-06T17:15:00Z,60,1h,,,,Thursday,Yes,"Charles Boutaud - Lightouse Reports, Alyson Clary - APM Research Lab, Caitlin McGlade - Arizona Republic","Grand Portage Ballroom 1, fourth floor",https://schedules.ire.org/nicar-2025/index.html#2010,
